SPO2,IR,RED
,149410.0,48942.0
,149400.0,48351.0
,149235.0,48726.0
,149502.0,48609.0
,149539.0,48707.0
,150092.0,48806.0
,149618.0,48736.0
,149845.0,48724.0
,149861.0,48787.0
,150112.0,48905.0
,150551.0,49136.0
,150147.0,48845.0
,149741.0,48774.0
,149571.0,48569.0
,148662.0,48646.0
,147745.0,48201.0
,146229.0,48239.0
,145050.0,47838.0
,143466.0,47923.0
,142547.0,47521.0
,141929.0,47085.0
,141438.0,47062.0
,141411.0,47171.0
,140836.0,47244.0
,141192.0,47220.0
,141041.0,47433.0
,141080.0,47265.0
,141345.0,47180.0
,141273.0,47253.0
,141342.0,47086.0
,141133.0,47430.0
,141072.0,47337.0
,141410.0,47273.0
,141100.0,47473.0
,141398.0,47373.0
,141255.0,46873.0
,141541.0,47377.0
,141224.0,47248.0
,141350.0,47579.0
,141414.0,47140.0
,141847.0,47334.0
,141421.0,46960.0
,141415.0,47408.0
,141983.0,47309.0
,142477.0,47308.0
,142798.0,47674.0
,143299.0,47453.0
,143651.0,47427.0
,143583.0,47557.0
,144001.0,47557.0
,143926.0,47657.0
,143874.0,47600.0
,143873.0,47757.0
,144000.0,47996.0
,143880.0,47790.0
,143894.0,47737.0
,143954.0,47708.0
,144063.0,47829.0
,144203.0,47516.0
,144166.0,47551.0
,144169.0,47844.0
,144188.0,47139.0
,144186.0,47971.0
,144175.0,48272.0
,144738.0,47816.0
,144966.0,47572.0
,145111.0,47880.0
,145090.0,47796.0
,145524.0,48093.0
,145796.0,48191.0
,146159.0,47929.0
,146196.0,48277.0
,146351.0,48101.0
,146472.0,48614.0
,146564.0,48188.0
,146679.0,48262.0
,146915.0,47783.0
,147041.0,48280.0
,147238.0,48178.0
,147883.0,48664.0
,147643.0,48036.0
,147893.0,48599.0
,148462.0,48796.0
,147936.0,48084.0
,148111.0,48377.0
,148447.0,48195.0
,148921.0,48986.0
,149138.0,48837.0
,149609.0,48918.0
,149564.0,49151.0
,149785.0,48877.0
,150128.0,49365.0
,150688.0,48862.0
,150977.0,49012.0
,150986.0,49391.0
,151083.0,49285.0
,151074.0,49117.0
,151658.0,49350.0
,151454.0,49234.0
,151494.0,49140.0
,151764.0,49158.0
,151886.0,49765.0
,151186.0,49022.0
,150540.0,49049.0
,149396.0,48747.0
,147914.0,48411.0
,146639.0,48020.0
,144952.0,47897.0
,143573.0,47473.0
,142698.0,47784.0
,142106.0,47660.0
,141627.0,47539.0
,141117.0,47343.0
,140987.0,47019.0
,141127.0,46895.0
,140982.0,47377.0
,140960.0,47119.0
,141078.0,47231.0
,141292.0,47536.0
,141050.0,47459.0
,141082.0,47463.0
,141524.0,47647.0
,141656.0,47248.0
,141511.0,47589.0
,141777.0,47467.0
,141629.0,47217.0
,141441.0,46865.0
,141786.0,47385.0
,141467.0,47101.0
,141857.0,47731.0
,142166.0,47386.0
,141543.0,47456.0
,142216.0,47487.0
,142077.0,47564.0
,142746.0,47647.0
,143507.0,47499.0
,143692.0,47538.0
,143990.0,47674.0
,144371.0,47905.0
,144861.0,47807.0
,145038.0,47638.0
,144932.0,48148.0
,144911.0,47997.0
,145127.0,48410.0
,145109.0,47849.0
,145254.0,48317.0
,145165.0,47684.0
,145195.0,47677.0
,145057.0,47658.0
,145212.0,48430.0
,145522.0,47767.0
,145611.0,48455.0
,145355.0,48174.0
,145572.0,48074.0
,145894.0,48087.0
,145796.0,48036.0
,146137.0,48385.0
,146055.0,48398.0
,146165.0,48015.0
,146221.0,48020.0
,146435.0,48489.0
,146672.0,48305.0
,146913.0,48069.0
,146580.0,48155.0
,147023.0,48869.0
,147622.0,48284.0
,147866.0,48618.0
,147958.0,48504.0
,148093.0,48752.0
,148498.0,48565.0
,148765.0,48281.0
,148891.0,48625.0
,148949.0,48409.0
,149065.0,48442.0
,149587.0,48776.0
,149160.0,48982.0
,149455.0,48965.0
,149375.0,48791.0
,149469.0,48783.0
,149487.0,49189.0
,149455.0,48760.0
,150052.0,49299.0
,149913.0,48800.0
,150381.0,49076.0
,150543.0,48569.0
,150348.0,48963.0
,150435.0,48755.0
,150845.0,48920.0
,150486.0,49233.0
,150998.0,49316.0
,150794.0,49651.0
,151020.0,49126.0
,150760.0,49340.0
,150429.0,48877.0
,149950.0,49215.0
,149279.0,48629.0
,147891.0,48609.0
,146533.0,48242.0
,145021.0,48167.0
,143572.0,47820.0
,141898.0,47407.0
,141217.0,47393.0
,141112.0,46667.0
,140737.0,47365.0
,140572.0,47131.0
,140761.0,47232.0
,140562.0,47271.0
,141001.0,47237.0
